main_category,code,url,product_name,nutrition_grade_fr,energy,proteins,stores_y
Breakfast cereals,3700036900448,https://fr.openfoodfacts.org/produit/3700036900448/sur-d-avoir-la-fibre-naturalia,Sur d’avoir la fibre,a,1503,9.6999998092651,Naturalia
Breakfast cereals,3421557111112,https://fr.openfoodfacts.org/produit/3421557111112/corn-flakes-cacao-grillon-d-or,Corn Flakes Cacao,c,1611,6.7,Ma Vie en Bio
Breakfast cereals,4058172306945,https://fr.openfoodfacts.org/produit/4058172306945/schoko-crunchy-dm-bio,Schoko crunchy,d,1757,9.4,
Breakfast cereals,5400141235104,https://fr.openfoodfacts.org/produit/5400141235104/flocons-d-avoine-boni,Flocons d'avoine,a,1502,14,Colruyt
Breakfast cereals,3256226375904,https://fr.openfoodfacts.org/produit/3256226375904/muesli-floconneux-aux-fruits-et-aux-graines-u,Muesli floconneux aux fruits et aux graines,a,1585,13,Magasins U
Breakfast cereals,3263850805813,https://fr.openfoodfacts.org/produit/3263850805813/flocons-d-avoine-leader-price,Flocons d'avoine,a,1632,13.7,Leader Price
Breakfast cereals,3229820798110,https://fr.openfoodfacts.org/produit/3229820798110/granola-chocolat-bjorg,Granola chocolat Bjorg,a,1736,11,
Breakfast cereals,3266191007427,https://fr.openfoodfacts.org/produit/3266191007427/flocons-d-avoine-sans-gluten-la-vie-claire,Flocons d'avoine sans Gluten,a,1560,13.2,La Vie Claire
Breakfast cereals,0055577102053,https://fr.openfoodfacts.org/produit/0055577102053/gruau-une-minute-quaker,One minute oats,b,1534,13.333333333333,
Breakfast cereals,0064100108196,https://fr.openfoodfacts.org/produit/0064100108196/corn-flakes-cereal-kellogg-s,Corn Flakes Cereal,d,1586,6.8965517241379,
Breakfast cereals,5400111524528,https://fr.openfoodfacts.org/produit/5400111524528/crunchy-muesli-delhaize,Crunchy Muesli,b,1937,10.4,Delhaize
Breakfast cereals,3256226385392,https://fr.openfoodfacts.org/produit/3256226385392/muesli-tropical-u,Muesli tropical,b,1519,9.8,Magasins U
Breakfast cereals,3273120022604,https://fr.openfoodfacts.org/produit/3273120022604/flocons-de-quinoa-celnat,Flocons de Quinoa,a,1591,12.4,
Breakfast cereals,3456300004908,https://fr.openfoodfacts.org/produit/3456300004908/happy-detox-karelea,Happy Detox Karéléa,c,1791,12,
Breakfast cereals,0655852000267,https://fr.openfoodfacts.org/produit/0655852000267/original-vanilla-crunch-granola-aurora-natural,Original Vanilla Crunch Granola,c,1813,6.6666666666667,
